total_reward,agent1_reward,agent2_reward,reward_difference,agent1_type,agent2_type,personality_pairing,alpha,beta
154.16696,77.05783,77.10913,0.05129999999999768,adaptive,competitive,adaptive-competitive,4.0,5.0
147.7491,74.06735,73.68175,0.3856000000000108,adaptive,competitive,adaptive-competitive,4.0,10.0
134.73301,67.42013,67.31288,0.1072499999999934,adaptive,competitive,adaptive-competitive,4.0,15.0
151.91968,75.95475,75.96493,0.010179999999991196,adaptive,competitive,adaptive-competitive,6.0,5.0
132.93899399999998,66.357254,66.58174,0.22448599999999885,adaptive,competitive,adaptive-competitive,6.0,10.0
128.97267,64.48305,64.48962,0.006569999999996412,adaptive,competitive,adaptive-competitive,6.0,15.0
145.58895,72.7563,72.83265,0.07635000000000502,adaptive,adaptive,adaptive-adaptive,2.0,5.0
162.45455600000003,81.224106,81.23045,0.006343999999998573,adaptive,adaptive,adaptive-adaptive,2.0,10.0
139.72866,69.77086,69.9578,0.186940000000007,adaptive,adaptive,adaptive-adaptive,2.0,15.0
154.922456,77.449936,77.47252,0.02258400000000904,adaptive,adaptive,adaptive-adaptive,4.0,5.0
147.075436,73.599846,73.47559,0.12425600000000259,adaptive,adaptive,adaptive-adaptive,4.0,10.0
133.163585,66.593025,66.57056,0.02246499999999685,adaptive,adaptive,adaptive-adaptive,4.0,15.0
144.47457500000002,72.206985,72.26759,0.06060499999999536,adaptive,adaptive,adaptive-adaptive,6.0,5.0
142.54549,71.24378,71.30171,0.05792999999999893,adaptive,adaptive,adaptive-adaptive,6.0,10.0
138.03402,69.02186,69.01216,0.009700000000009368,adaptive,adaptive,adaptive-adaptive,6.0,15.0
151.23877,75.65138,75.58739,0.06399000000000399,adaptive,cautious,adaptive-cautious,2.0,5.0
159.34431,79.66039,79.68392,0.023529999999993834,adaptive,cautious,adaptive-cautious,2.0,10.0
147.8469,73.91805,73.92885,0.010800000000003251,adaptive,cautious,adaptive-cautious,2.0,15.0
149.63588,74.78235,74.85353,0.07118000000001246,adaptive,cautious,adaptive-cautious,4.0,5.0
140.09881000000001,70.07252,70.02629,0.04622999999999422,adaptive,cautious,adaptive-cautious,4.0,10.0
137.59949,68.79969,68.7998,0.00011000000000649379,adaptive,cautious,adaptive-cautious,4.0,15.0
140.58794,70.32435,70.26359,0.060760000000001924,adaptive,cautious,adaptive-cautious,6.0,5.0
135.82244,67.93433,67.88811,0.04622000000000526,adaptive,cautious,adaptive-cautious,6.0,10.0
123.32384400000001,61.81306,61.510784,0.3022759999999991,adaptive,cautious,adaptive-cautious,6.0,15.0
152.76818600000001,76.43868,76.329506,0.1091740000000101,cautious,cooperative,cautious-cooperative,2.0,5.0
140.92956600000002,70.4637,70.465866,0.0021660000000025548,cautious,cooperative,cautious-cooperative,2.0,10.0
