Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,4.7327222651995034e-15,304.2882442277004,822.0112303809694,10.69237578477108,-932.2051535
AAKTSE1,5.501576471282584e-15,304.2717212174673,736.4763998364297,56.162603306197866,-875.5145015
AAKTSE1,6.270430677365665e-15,218.69186487390084,666.0660137363343,50.906164160957715,-769.7427383
AAKTSE1,7.039284883448746e-15,149.10867519700105,585.7534054140167,46.19083612682926,-669.7020863
AAKTSE1,7.808139089531826e-15,103.04437440898991,573.3652415361432,15.167730314922682,-655.4281009
AAKTSE1,8.576993295614907e-15,78.53451806542381,590.3159665471585,-63.39759772,-699.9152266
AAKTSE1,9.345847501697987e-15,27.339106166301704,563.4522471,-60.81716818,-769.9351806
AAKTSE1,1.0114701707781068e-14,30.23702760051264,639.9629721247454,-1.036031565,-800.5517003
AAKTSE1,1.0883555913864147e-14,44.86050459027955,561.6336971357608,-8.809137377,-824.7377149
AAKTSE1,1.1652410119947231e-14,160.67398158004636,585.5444221467769,68.54442347761223,-823.0481739
AAKTSE1,1.2421264326030312e-14,249.20079190314732,840.5795916022366,87.93465099903901,-776.1452997
AAKTSE1,-1.02E-15,255.61093555958075,864.6025388354751,87.19710074268778,-762.2624254
AAKTSE1,-2.52E-16,152.6077458826811,717.4954860687124,96.42510604189259,-810.8539956
AAKTSE1,5.169722290775737e-16,143.42122287244777,865.1506555241727,85.60088911887536,-800.7022324
AAKTSE1,1.2858264351606544e-15,150.40914430665885,626.5569360907435,-21.95110558,-753.8560248
AAKTSE1,2.054680641243735e-15,239.63039907420375,512.2287722128708,-105.8453225,-755.087595
AAKTSE1,2.8235348473268157e-15,258.15609828619364,466.89616389055317,-45.13398387,-815.8313873
AAKTSE1,3.5923890534098956e-15,237.47735305373752,483.93577779045756,-38.03153413,-861.997402
AAKTSE1,4.361243259493002e-15,234.69305226572646,584.2020583570289,-36.05352883,-913.0800832
AAKTSE1,5.130097465576083e-15,112.9498625888273,649.1405611458224,-65.33441242,-962.6627645
AAKTSE1,2.0109806386861167e-14,60.13778402303821,739.5712861568378,-101.5019627,-982.1332236
AAKTSE1,2.0878660592944248e-14,184.9512610128051,925.8397889456312,-113.1217352,-990.7314604
AAKTSE1,2.1647514799027332e-14,222.154738,1021.3838472899805,-109.9137299,-1009.367475
AAKTSE1,8.205514289908406e-15,222.69043721456129,976.9856834121072,38.367608777587336,-1047.061267
AAKTSE1,8.974368495991512e-15,257.0516919821057,939.2308528675674,75.8778363,-1049.956171
AAKTSE1,9.743222702074592e-15,331.59739119409466,835.0315778785825,79.78250826488589,-1113.183297
AAKTSE1,1.0512076908157671e-14,394.8086459616395,950.0123028895982,88.83829134186769,-1161.534867
AAKTSE1,1.1280931114240754e-14,389.88323406251743,930.5974723450583,81.59851886329449,-1184.444215
AAKTSE1,1.2049785320323834e-14,310.08559994117326,960.4993084671851,69.28874638,-1194.773563
AAKTSE1,1.2818639526406917e-14,250.02018804205122,818.0578112559785,41.123418350592196,-1260.976244
AAKTSE1,1.3587493732489996e-14,249.22255392070707,949.3563140447718,9.944655973029848,-1315.431349
